Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\CPLD_Breakout\Project Outputs for CPLD_Breakout\Pick Place for CPLD_Breakout(Simple JTAG header).csv

========================================================================================================================
File Design Information:

Date:       07/12/19
Time:       01:07
Revision:   41f7b8b1a276b848de2d2f9002ed78479d167314
Variant:    Simple JTAG header
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"P3","HDR1X6H","6.4770","8.8900","6.4770","15.2400","6.4770","15.2400","TopLayer","270"
"R3","CR1608-0603","16.5608","10.0584","16.5608","10.0584","17.4108","10.0584","TopLayer","180"
"D1","LED1608-0603-RED","16.5608","11.3030","16.5608","11.3030","17.4108","11.3030","TopLayer","360"
"D2","SOD-123","16.7894","8.1788","16.7894","8.1788","15.1494","8.1788","TopLayer","180"
"Z1","SC70_N","17.8054","5.3594","17.8054","5.3594","16.6804","6.0094","TopLayer","0"
"P4","HDR1X10S","19.0500","0.0000","7.6200","0.0000","7.6200","0.0000","BottomLayer","360"
"P2","HDR1X10S","19.0500","17.7800","30.4800","17.7800","30.4800","17.7800","BottomLayer","180"
"C4","CCNP1608-0603","22.0170","7.4930","22.0170","7.4930","21.1670","7.4930","TopLayer","360"
"U1","VQG44_M","31.2420","8.8900","31.2420","8.8900","25.5420","12.8900","TopLayer","360"
"C3","CCNP1608-0603","39.0652","14.3256","39.0652","14.3256","39.9152","14.3256","TopLayer","180"
"C2","CCNP1608-0603","40.3400","5.4356","40.3400","5.4356","41.1900","5.4356","TopLayer","180"
"C1","CCNP1608-0603","40.3400","7.2390","40.3400","7.2390","41.1900","7.2390","TopLayer","180"
"P5","HDR1X10S","44.4500","0.0000","33.0200","0.0000","33.0200","0.0000","BottomLayer","360"
"P1","HDR1X10S","44.4500","17.7800","55.8800","17.7800","55.8800","17.7800","BottomLayer","180"
"C6","CCNP1608-0603","44.8310","9.1732","44.8310","9.1732","44.8310","8.3232","TopLayer","90"
"C5","CCNP1608-0603","47.3964","4.6774","47.3964","4.6774","48.2464","4.6774","TopLayer","180"
"R4","CR1608-0603","47.4980","12.1920","47.4980","12.1920","48.3480","12.1920","TopLayer","180"
"D3","LED1608-0603-RED","47.4980","13.4620","47.4980","13.4620","48.3480","13.4620","TopLayer","360"
"U2","SOT23-5","47.6758","8.7668","47.6758","8.7668","46.7258","7.4168","TopLayer","270"
"RESET_BTN","SMD-SW-4_5.1x5.1x2.0_M","53.0098","8.8900","53.0098","8.8900","56.1098","7.0150","TopLayer","360"
"R2","CR1608-0603","54.1020","5.4610","54.1020","5.4610","53.2520","5.4610","TopLayer","360"
"R1","CR1608-0603","54.1020","12.3190","54.1020","12.3190","54.9520","12.3190","TopLayer","180"
